"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\404.html", "HTML", 50, 0, 0, 0, 0, 1, 12, 63
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\README.md", "Markdown", 0, 68, 0, 0, 0, 0, 42, 110
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap-theme.css", "CSS", 0, 0, 0, 581, 0, 6, 0, 587
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 6826, 0, 8, 0, 6834
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 288, 0, 0, 288
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\jQuery\jquery-3.6.1.js", "JavaScript", 0, 0, 6902, 0, 0, 1922, 2086, 10910
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 1752, 0, 0, 211, 618, 2581
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 5, 0, 6
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\bootstrap\js\npm.js", "JavaScript", 0, 0, 12, 0, 0, 1, 0, 13
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\base.css", "CSS", 0, 0, 0, 22, 0, 5, 3, 30
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\common.css", "CSS", 0, 0, 0, 769, 0, 28, 26, 823
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\css.css", "CSS", 0, 0, 0, 336, 0, 4, 10, 350
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\denglu.css", "CSS", 0, 0, 0, 222, 0, 4, 38, 264
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\displayphoto.css", "CSS", 0, 0, 0, 52, 0, 0, 7, 59
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\fuwuquzhidaostyle.css", "CSS", 0, 0, 0, 135, 0, 0, 3, 138
"d:\total\exp\softwareability\project\cloudswjtu_total_2022.12.26\css\griddisplay.css", "CSS", 0, 0, 0, 390, 0, 0, 46, 436
